label,start,mid,end
6,190,244,289
4,289,312,327
8,327,349,362
4,362,382,396
8,396,410,423
4,423,444,462
6,682,731,774
4,774,798,814
8,814,836,847
1,1143,1192,1234
7,1234,1256,1270
4,1270,1290,1301
8,1301,1315,1332
3,1332,1361,1377
7,1377,1393,1406
3,1406,1423,1432
2,1897,1951,1994
5,2121,2182,2220
4,2220,2243,2262
8,2262,2283,2294
5,2516,2566,2605
4,2605,2627,2647
2,3068,3109,3152
7,3152,3176,3191
3,3191,3213,3230
2,3447,3488,3526
8,3526,3548,3546
5,3834,3886,3926
4,3926,3949,3972
8,3972,3997,4009
5,4260,4319,4363
3,4363,4385,4402
1,4569,4616,4659
8,4659,4681,4694
4,4694,4713,4734
8,4734,4756,4766
3,4766,4785,4802
2,5175,5222,5263
8,5263,5288,5301
3,5301,5328,5342
7,5342,5356,5370
4,5370,5385,5397
8,5397,5410,5427
4,5427,5448,5465
7,5465,5493,5501
5,5765,5843,5887
3,5887,5909,5925
8,5925,5948,5957
3,5957,5972,5982
7,5982,5994,6007
5,6355,6434,6480
2,6760,6811,6854
8,6854,6874,6887
4,6887,6909,6926
8,6926,6947,6959
4,6959,6979,7001
1,7360,7392,7435
8,7435,7454,7469
3,7469,7550,7516
7,7516,7532,7544
4,7544,7560,7574
8,7574,7588,7604
4,7604,7628,7646
8,7646,7667,7679
4,7679,7696,7745
